id	domain_names	forward_scheme	forward_host	forward_port	enabled	ssl_forced	created_on	modified_on	cert
1	["cloud.opensolutions.com.ar"]	http	192.1.1.33	80	1	0	2021-05-18 02:05:03	2024-03-07 16:29:19	cloud.opensolutions.com.ar
2	["dwl12c.open.com.ar"]	http	192.1.2.54	9001	0	0	2021-05-18 02:19:07	2025-10-14 01:41:20	dwl12c.open.com.ar
3	["vcenter.opensol.com.ar"]	https	192.1.1.29	443	1	0	2021-05-27 14:12:17	2021-05-27 14:22:40	NULL
4	["yacyretatest.condor.com.ar"]	https	200.55.243.91	443	1	1	2021-06-02 20:10:01	2021-12-09 12:41:43	yacyretatest.condor.com.ar
5	["repo.open.com.ar"]	http	192.1.1.46	80	0	0	2021-06-15 19:50:27	2025-10-14 03:17:06	repo.open.com.ar
6	["help.open.com.ar"]	http	192.1.1.112	8080	1	1	2021-07-14 14:06:44	2024-05-21 19:12:42	help.open.com.ar
7	["it.open.com.ar"]	http	192.168.100.8	80	0	0	2021-07-20 15:09:13	2025-10-14 01:22:09	it.open.com.ar
8	["helpbk.open.com.ar"]	http	192.1.1.112	9001	1	0	2021-07-22 22:09:04	2024-05-21 19:13:32	helpbk.open.com.ar
9	["condor.open.com.ar"]	http	192.1.2.54	9001	1	0	2021-07-23 19:35:56	2021-07-23 19:36:11	condor.open.com.ar
10	["sigo.open.com.ar"]	http	192.1.1.191	80	1	1	2021-12-01 13:23:34	2024-03-26 12:11:04	sigo.open.com.ar
11	["yacyreta.condorwork.com.ar"]	http	192.1.1.191	80	1	1	2021-12-03 01:06:28	2021-12-03 02:23:23	yacyreta.condorwork.com.ar
12	["yacyretatest.condorwork.com.ar"]	http	192.1.2.54	9001	1	0	2021-12-09 12:53:32	2021-12-29 14:23:54	yacyretatest.condorwork.com.ar
13	["apps.open.com.ar"]	http	192.1.1.12	80	1	1	2021-12-14 19:58:16	2022-03-18 20:02:31	apps.open.com.ar
14	["app.open.com.ar"]	http	192.1.1.12	80	0	1	2021-12-17 13:17:00	2025-10-14 01:20:45	app.open.com.ar
15	["yacyretatest.condorwork.com.ar:9002"]	http	192.1.2.54	9002	1	1	2021-12-28 22:53:00	2021-12-28 23:16:26	yacyretatest.condor.com.ar
16	["wiki.open.com.ar"]	http	192.1.1.6	5001	1	0	2022-01-13 12:40:06	2022-01-13 12:40:14	wiki.open.com.ar
17	["cabj.condorwork.com.ar"]	http	192.1.2.54	9001	1	0	2022-03-18 20:03:25	2022-03-18 20:45:41	NULL
18	["cabj.condorwork.com.ar"]	http	192.1.2.54	9001	1	0	2022-03-18 20:46:33	2022-11-29 18:59:25	cabj.condorwork.com.ar
19	["boca.condorwork.com.ar"]	http	192.1.2.54	9001	1	0	2022-03-21 13:37:24	2022-03-21 13:39:01	boca.condorwork.com.ar
20	["cefas.opensol.com.ar"]	http	192.1.1.191	80	1	0	2022-05-18 05:45:58	2022-07-25 17:46:58	NULL
21	["demo.condorsolutions.com.py"]	http	192.1.1.36	9001	1	0	2022-07-25 17:42:10	2022-10-18 19:48:10	demo.condorsolutions.com.py
22	["ccp.open.com.ar"]	http	192.1.1.33	8180	1	0	2022-07-27 17:55:52	2022-07-27 17:59:19	NULL
23	["ppc.open.com.ar"]	http	192.1.1.6	8180	1	0	2022-07-27 17:58:45	2022-09-15 16:32:28	ppc.open.com.ar
24	["ordserp19.open.com.ar"]	https	192.1.2.54	7703	1	1	2022-08-03 19:46:39	2025-06-13 17:23:14	ordserp19.open.com.ar
25	["ppctest.open.com.ar"]	http	192.1.1.33	8180	1	0	2022-09-14 20:09:44	2022-09-14 20:10:47	NULL
26	["ppctest.open.com.ar"]	http	192.1.1.33	8181	0	0	2022-09-14 20:20:44	2023-11-16 18:25:52	ppctest.open.com.ar
27	["ordsppc.open.com.ar"]	http	192.1.1.24	8080	1	0	2022-09-15 13:53:37	2022-10-14 17:51:19	ordsppc.open.com.ar
28	["abb.condorwork.com.ar"]	http	192.1.2.54	9001	1	0	2022-10-19 12:25:45	2023-12-29 15:24:14	abb.condorwork.com.ar
29	["autorizaciones.open.com.ar"]	http	192.1.2.77	8080	0	1	2022-10-19 12:57:35	2023-02-01 19:27:30	autorizaciones.open.com.ar
30	["pdcr.open.com.ar"]	http	192.1.1.6	8185	1	0	2022-10-19 14:55:57	2022-10-19 14:56:13	pdcr.open.com.ar
31	["portal.open.com.ar"]	http	192.1.1.6	8185	1	0	2022-10-28 19:57:48	2022-10-28 19:58:02	portal.open.com.ar
32	["pietroboni.condorwork.com.ar"]	http	192.1.2.54	9001	1	0	2023-01-17 18:22:35	2023-01-17 18:22:49	pietroboni.condorwork.com.ar
33	["testords11.open.com.ar"]	http	192.1.2.77	8080	1	0	2023-02-01 19:25:26	2023-02-09 19:28:52	testords11.open.com.ar
34	["condor.com.ar"]	http	34.198.2.32	80	1	1	2023-02-16 17:25:32	2023-10-19 18:44:20	condor.com.ar
35	["open.com.ar"]	http	192.1.1.110	8081	1	1	2023-02-16 18:08:42	2026-03-26 20:47:01	open.com.ar
36	["www.open.com.ar"]	http	192.1.1.110	8081	1	0	2023-02-16 20:36:56	2026-07-01 15:49:33	www.open.com.ar
