source,destination,ssl,access,status,created
abb.condorwork.com.ar,http://192.1.2.54:9001,Let's Encrypt,Public,Online,19th October 2022
app.condorwork.com.ar,http://192.1.1.112:8190,Let's Encrypt,Public,Online,16th January 2024
app.open.com.ar,http://192.1.1.12:80,Let's Encrypt,Public,Disabled,17th December 2021
autorizaciones.open.com.ar,http://192.1.2.77:8080,Let's Encrypt,Public,Disabled,19th October 2022
cabj.condorwork.com.ar,http://192.1.2.54:9001,Let's Encrypt,Public,Online,18th March 2022
cabjjasper.condorwork.com.ar,http://192.1.1.110:8090,Let's Encrypt,Public,Online,29th December 2023
cefasjasper.condorwork.com.ar,http://192.1.1.110:8095,HTTP only,Public,Online,29th December 2023
cloud.opensolutions.com.ar,http://192.1.1.33:80,Let's Encrypt,Public,Online,7th March 2024
condor.com.ar,http://34.198.2.32:80,Let's Encrypt,Public,Online,16th February 2023
condor.open.com.ar,http://192.1.2.54:9001,Let's Encrypt,Public,Online,23rd July 2021
condor.solutions,http://192.1.1.110:8082,Let's Encrypt,Public,Online,26th March 2026
condorlink.com.ar,https://condorlink.net:443,Let's Encrypt,Public,Online,30th June 2024
condorsolutions.com.py,http://34.202.29.65:80,Let's Encrypt,Public,Online,10th April 2023
crm.open.com.ar,http://192.1.1.6:8069,Let's Encrypt,Public,Online,22nd March 2023
dcviajes.opensolutions.com.ar,http://192.1.1.191:8888,HTTP only,Public,Online,19th March 2024
demo.condorsolutions.com.py,http://192.1.1.36:9001,Let's Encrypt,Public,Online,25th July 2022
dev.condorwork.com.ar,http://192.1.1.112:8195,Let's Encrypt,Public,Online,28th May 2024
dwl12c.open.com.ar,http://192.1.2.54:9001,Let's Encrypt,Public,Disabled,17th May 2021
eby-prod.condorwork.com.ar,http://10.77.7.201:9001,Let's Encrypt,Public,Online,1st September 2025
eby-qa.condorwork.com.ar,http://10.77.7.201:9001,Let's Encrypt,Public,Online,5th February 2026
ebyprod.open.com.ar,http://10.77.8.201:9001,Let's Encrypt,Public,Online,29th September 2025
enerflex.condorwork.com.ar,http://192.1.1.1:9001,Let's Encrypt,Public,Online,11th December 2023
giarprod.condorenterprise.com.ar,http://200.55.243.117:80,Let's Encrypt,Public,Online,31st March 2025
heinleintest.condor.solutions,http://192.1.2.195:9001,Let's Encrypt,Public,Online,9th March 2026
help.open.com.ar,http://192.1.1.112:8080,Let's Encrypt,Public,Online,14th July 2021
helpbk.open.com.ar,http://192.1.1.112:9001,Let's Encrypt,Public,Online,22nd July 2021
it.open.com.ar,http://192.168.100.8:80,Let's Encrypt,Public,Disabled,20th July 2021
jobs.condorwork.com.ar,http://192.1.2.54:9001,Let's Encrypt,Public,Online,12th April 2023
jobsjasper.condorwork.com.ar,http://192.1.1.110:8098,Let's Encrypt,Public,Online,2nd January 2024
jobsprod.condorwork.com.ar,http://192.1.1.1:9001,Let's Encrypt,Public,Online,19th July 2023
laholandodemo.condorenterprise.com.ar,http://192.1.1.210:9001,Let's Encrypt,Public,Online,19th January 2024
laholandodemo.condorwork.com.ar,http://192.1.1.210:9001,Let's Encrypt,Public,Online,15th January 2024
micro-strategy.open.com.ar,http://192.1.1.15:8080,Let's Encrypt,Public,Online,13th June 2023
microstrategy.open.com.ar,http://192.1.1.111:8080,Let's Encrypt,Public,Online,8th March 2023
open.com.ar,http://192.1.1.110:8081,Let's Encrypt,Public,Online,16th February 2023
opensolutions.com.ar,http://192.1.1.110:8081,Let's Encrypt,Public,Online,13th April 2023
ords-angular.open.com.ar,http://192.1.1.80:8088,Let's Encrypt,Public,Online,19th July 2024
ords-balanz.open.com.ar,http://192.168.222.20:8080,Let's Encrypt,Public,Online,29th December 2025
ords-balanztest.open.com.ar,http://192.168.222.19:8080,Let's Encrypt,Public,Online,29th July 2025
ords-boca.open.com.ar,http://192.1.2.54:7005,Let's Encrypt,Public,Online,23rd May 2023
ords-cefast.open.com.ar,https://192.1.2.54:7007,Let's Encrypt,Public,Online,29th February 2024
ords-eby.open.com.ar,http://192.1.2.54:7010,Let's Encrypt,Public,Online,4th June 2024
ords-ebyqa.open.com.ar,http://10.77.7.15:8040,Let's Encrypt,Public,Online,5th February 2026
ords-jobs.open.com.ar,http://192.1.1.1:8002,Let's Encrypt,Public,Online,26th August 2024
ords-jobsdev.open.com.ar,http://192.1.1.44:8080,Let's Encrypt,Public,Online,22nd December 2025
ords-jobst.open.com.ar,https://192.1.2.54:7002,Let's Encrypt,Public,Online,27th August 2024
ords-open.open.com.ar,http://192.1.1.1:8001,Let's Encrypt,Public,Online,21st May 2023
ords-roman2.open.com.ar,http://10.77.7.12:8040,Let's Encrypt,Public,Online,12th January 2028
ords-t2022dev01.open.com.ar,https://192.1.2.54:7009,Let's Encrypt,Public,Online,29th February 2024
ords-tcore-dev.open.com.ar,http://192.1.1.80:8050,Let's Encrypt,Public,Online,20th January 2028
ords-tcore-prod.open.com.ar,http://192.1.1.80:8040,Let's Encrypt,Public,Online,20th January 2028
ords-tcore.open.com.ar,http://192.1.1.80:8090,Let's Encrypt,Public,Online,6th June 2025
ords-yacy.open.com.ar,http://10.77.7.15:8080,Let's Encrypt,Public,Online,14th August 2025
ordserp19.open.com.ar,https://192.1.2.54:7703,Let's Encrypt,Public,Online,3rd August 2022
ordsppc.open.com.ar,http://192.1.1.24:8080,Let's Encrypt,Public,Online,15th September 2022
pdct.open.com.ar,http://192.1.1.6:8185,Let's Encrypt,Public,Online,19th October 2022
pietroboni.condorwork.com.ar,http://192.1.2.54:9001,Let's Encrypt,Public,Online,17th January 2023
portal.open.com.ar,http://192.1.1.6:8185,Let's Encrypt,Public,Online,28th October 2022
ppc.open.com.ar,http://192.1.1.6:8180,Let's Encrypt,Public,Online,27th July 2022
proviadev01.condor.com.ar,http://172.171.154.190:80,Let's Encrypt,Public,Online,10th July 2025
qadmportal.condor.solutions,http://10.77.10.201:8040,Let's Encrypt,Public,Disabled,3rd February 2026
repo.open.com.ar,http://192.1.1.46:80,Let's Encrypt,Public,Disabled,15th June 2021
romanprod.condor.solutions,http://10.77.7.201:9001,Let's Encrypt,Public,Online,3rd March 2026
romanqa.condor.solutions,http://10.77.7.201:9001,Let's Encrypt,Public,Online,3rd March 2026
serzarex-test.condor.solutions,http://192.1.2.195:9001,Let's Encrypt,Public,Disabled,26th June 2026
serzarex.condor.solutions,http://192.1.2.195:9001,Let's Encrypt,Public,Online,26th June 2026
sigo.open.com.ar,http://192.1.1.191:80,Let's Encrypt,Public,Online,1st December 2021
tassaroli.condorwork.com.ar,http://192.1.1.191:8888,Let's Encrypt,Public,Online,26th September 2023
test.condor.local,http://192.1.1.110:8082,HTTP only,Public,Online,26th March 2026
test.condorwork.com.ar,http://192.1.1.112:8205,Let's Encrypt,Public,Online,28th May 2024
testords11.open.com.ar,http://192.1.2.77:8080,Let's Encrypt,Public,Online,1st February 2023
uia.condorenterprise.com.ar,http://192.1.1.191:80,Let's Encrypt,Public,Online,28th February 2023
wiki.open.com.ar,http://192.1.1.6:5001,Let's Encrypt,Public,Online,13th January 2022
work.open.com.ar,http://192.1.1.112:8190,Let's Encrypt,Public,Online,19th May 2023
www.condorsolutions.com.py,http://34.202.29.65:80,Let's Encrypt,Public,Online,10th April 2023
www.open.com.ar,http://192.1.1.110:8081,Let's Encrypt,Public,Online,16th February 2023
www.opensolutions.com.ar,http://192.1.1.110:8081,Let's Encrypt,Public,Online,13th April 2023
yacyreta.condorwork.com.ar,http://192.1.1.191:80,Let's Encrypt,Public,Online,2nd December 2021
yacyretatest.condorwork.com.ar,http://192.1.2.54:9001,Let's Encrypt,Public,Online,9th December 2021
