Rules
			Interface 	Protocol 	Source Address 	Source Ports 	Dest. Address 	Dest. Ports 	NAT IP 	NAT Ports 	Description 	Actions
			WAN 	TCP 	* 	* 	WAN address 	5555 	10.10.1.200 	22 (SSH) 	mitiga OPENINFR01 	
			WAN 	TCP 	OPEN_REDES_PUBLICAS_2024 	* 	WAN address 	1522 	172.18.5.43 	1522 	mitiga 	
			WAN 	TCP 	OPEN_REDES_PUBLICAS_2024 	* 	WAN address 	212 	172.18.5.43 	22 (SSH) 	SSH DBromanP 	
			WAN 	TCP 	OPEN_REDES_PUBLICAS_2024 	* 	WAN address 	213 	172.18.5.38 	22 (SSH) 	SSH DBromanHist 	
			WAN 	TCP 	OPEN_REDES_PUBLICAS_2024 	* 	WAN address 	214 	10.10.1.132 	22 (SSH) 	SSH DBromanTest 	
			WAN 	TCP 	OPEN_REDES_PUBLICAS_2024 	* 	WAN address 	215 	172.18.5.40 	22 (SSH) 	SSH WLromanPROD 	
			WAN 	TCP 	OPEN_REDES_PUBLICAS_2024 	* 	WAN address 	216 	172.18.5.39 	22 (SSH) 	SSH WLromanHist 	
			WAN 	TCP 	OPEN_REDES_PUBLICAS_2024 	* 	WAN address 	217 	172.18.5.60 	22 (SSH) 	SSH DBargoceanPROD 	
			WAN 	TCP 	ROMAN_IP_PUBLICAS 	* 	WAN address 	1522 	172.18.5.43 	1522 		
			WAN 	TCP 	ROMAN_IP_PUBLICAS 	* 	WAN address 	1523 	172.18.5.43 	1522 	romans 	
			WAN 	TCP 	ROMAN_IP_PUBLICAS 	* 	WAN address 	1524 	10.10.1.132 	1521 	test roman , GIARG 	
			WAN 	TCP 	OPEN_REDES_PUBLICAS_2024 	* 	WAN address 	1524 	10.10.1.132 	1521 	mitiga test roman,GIARG 	
			WAN 	TCP 	* 	* 	WAN address 	1523 	172.18.5.43 	1522 	mitiga romans 	
			WAN 	TCP 	* 	* 	WAN address 	8888 	172.18.5.39 	8888 	Publicacion de Weblogic 	
