Nombre,Estado,Condición,Administrada por,Host,Clúster,Espacio aprovisionado,Espacio utilizado,Sistema operativo invitado,Compatibilidad,Tamaño de memoria,Reserva,CPU,NIC,Tiempo de actividad,Dirección IP,Estado de versión de VMware Tools,Estado de ejecución de VMware Tools,CPU de host,Memoria de host,Memoria invitada - %,Nombre de DNS,Modo EVC,UUID,Notas,Acciones de alarma,Protección de HA,Necesidad de consolidación,Cumplimiento de directivas de almacenamiento de máquina ,Cifrado,TPM,VBS
OpenRepo,Apagado,Normal,,192.1.1.220,,"158,21 GB","131,88 GB",Ubuntu Linux (64-bit),ESXi 5.0 y posterior (máquina virtual versión 8),8 GB,0 B,1,1,0 segundo,,guestToolsUnmanaged|11269,No está en ejecución,0 Hz,0 B,0,openrepo,,564d0599-ea2f-6b00-4c15-b6db5b034ba8,"1.117
en teoria no se usa mas x migracion a git",Habilitado,N/D,No se requiere, --,No,false,
OpenDevServices,Apagado,Normal,,192.1.1.220,,"262,22 GB","250,03 GB",Ubuntu Linux (64-bit),ESXi 5.0 y posterior (máquina virtual versión 8),12 GB,0 B,2,1,0 segundo,,guestToolsUnmanaged|11269,No está en ejecución,0 Hz,0 B,0,opendevservices,,564da8cd-43e4-75b1-4f9f-021756ab7f42,172.18.0.1,Habilitado,N/D,No se requiere, --,No,false,
OPENDOCKER03,Apagado,Normal,,192.1.1.220,,"326,23 GB","310,04 GB",Ubuntu Linux (64-bit),ESXi 6.5 y posterior (máquina virtual versión 13),16 GB,0 B,4,1,0 segundo,,guestToolsUnmanaged|12389,No está en ejecución,0 Hz,0 B,0,,,42192619-d846-954c-b65d-dc1b406d9780,192.1.1.113,Habilitado,N/D,No se requiere, --,No,false,
openbackend01,Apagado,Normal,,192.1.3.252,,"76,19 GB",60 GB,Ubuntu Linux (64-bit),ESXi 6.5 y posterior (máquina virtual versión 13),16 GB,0 B,4,1,0 segundo,,guestToolsUnmanaged|12325,No está en ejecución,0 Hz,0 B,0,openbackend01,,42190c9e-a3f9-9815-2a5f-ce45cecb86b0,192.1.2.105,Habilitado,N/D,No se requiere, --,No,false,
OPENORACLEDB02,Apagado,Normal,,192.1.1.222,,"338,23 GB","306,01 GB",Oracle Linux 7 (64-bit),ESXi 6.5 y posterior (máquina virtual versión 13),32 GB,0 B,6,1,0 segundo,,guestToolsUnmanaged|11269,No está en ejecución,0 Hz,0 B,0,openoracledb02.open.solutions,,4219853d-83ba-8a8e-2d02-0a12eac771f0,"81  -  PDBOPENWL12PROD01
Last backup: [3/21/2026 2:23:23 AM]; Veeam server: [openbk]; Job: [Job_002_Backup_quincenal]; Repository: [openbk]",Habilitado,N/D,No se requiere, --,No,false,
DB-ARGOCEAN,Apagado,Normal,,192.1.3.252,,"216,12 GB","176,38 GB",Oracle Linux 4/5 or later (64-bit),ESXi 5.0 y posterior (máquina virtual versión 8),"5,86 GB",0 B,8,1,0 segundo,,guestToolsSupportedOld|9349,No está en ejecución,0 Hz,0 B,0,argocean,,564d2c02-b836-c726-d418-cd9c93075042,argocean 172.18.5.60,Habilitado,N/D,No se requiere, --,No,false,
DB-TEST,Apagado,Normal,,192.1.3.252,,"412,25 GB",396 GB,Oracle Linux 7 (64-bit),ESXi 6.5 y posterior (máquina virtual versión 13),16 GB,0 B,8,2,0 segundo,,guestToolsUnmanaged|11269,No está en ejecución,0 Hz,0 B,0,dbtest,,564d6869-78ce-06ce-8b22-beb369f9539a,,Habilitado,N/D,No se requiere, --,No,false,
OPENSYTDB01,Apagado,Normal,,192.1.3.252,,"176,22 GB",160 GB,Oracle Linux 7 (64-bit),ESXi 6.5 y posterior (máquina virtual versión 13),16 GB,0 B,8,1,0 segundo,,guestToolsUnmanaged|11269,No está en ejecución,0 Hz,0 B,0,,,4219f4f8-2a86-cd7e-ec74-59035083a828,,Habilitado,N/D,No se requiere, --,No,false,
OPENWLCLI01,Apagado,Normal,,192.1.1.223,,"246,22 GB","230,01 GB",Oracle Linux 7 (64-bit),ESXi 6.5 y posterior (máquina virtual versión 13),16 GB,0 B,6,1,0 segundo,,guestToolsUnmanaged|12389,No está en ejecución,0 Hz,0 B,0,openwlcli01.localdomain,,421924ac-be09-dde4-c678-bc053ffa9064,"EBY PRODUCCION
10.77.8.201 
(se clono de la 10.77.7.201) dejar apagada
EBYPROD

CEFAS
GIARG


test weblogix simple licence.
12.2.1.19  y db 23ia",Habilitado,N/D,No se requiere, --,No,false,false
OL8DBMULTI01,Apagado,Normal,,192.1.1.222,,"371,22 GB","347,01 GB",Oracle Linux 7 (64-bit),ESXi 6.5 y posterior (máquina virtual versión 13),24 GB,0 B,4,1,0 segundo,,guestToolsUnmanaged|12357,No está en ejecución,0 Hz,0 B,0,ol8dbmulti01.localdomain,,42199d8e-14fe-a8e8-a905-a3d12a66c363,,Habilitado,N/D,No se requiere, --,No,false,
VM_FW,Apagado,Normal,,192.1.3.252,,"44,21 GB","40,02 GB",FreeBSD (64-bit),ESXi 6.5 y posterior (máquina virtual versión 13),4 GB,0 B,4,3,0 segundo,,guestToolsUnmanaged|2147483647,No está en ejecución,0 Hz,0 B,0,fwsyt.localdomain,,564da22a-fd19-46c9-012e-fcfb7bb81021,,Habilitado,N/D,No se requiere, --,No,false,
