Nombre,Estado,Condición,Administrada por,Host,Clúster,Espacio aprovisionado,Espacio utilizado,Sistema operativo invitado,Compatibilidad,Tamaño de memoria,Reserva,CPU,NIC,Tiempo de actividad,Dirección IP,Estado de versión de VMware Tools,Estado de ejecución de VMware Tools,CPU de host,Memoria de host,Memoria invitada - %,Nombre de DNS,Modo EVC,UUID,Notas,Acciones de alarma,Protección de HA,Necesidad de consolidación,Cumplimiento de directivas de almacenamiento de máquina ,Cifrado,TPM,VBS
OPENSHARE,Apagado,Normal,,192.168.100.4,,"402,21 GB",400 GB,Microsoft Windows Server 2016 (64-bit),ESXi 6.5 y posterior (máquina virtual versión 13),2 GB,0 B,2,2,0 segundo,,guestToolsNotInstalled|0,No está en ejecución,0 Hz,0 B,0,,,421982c6-cced-074c-7442-dd554e7ca813,,Habilitado,N/D,No se requiere, --,No,false,
CLIENTESRDP,Apagado,Normal,,192.168.100.4,,"106,19 GB","54,42 GB",Microsoft Windows 8 (64-bit),ESXi 5.0 y posterior (máquina virtual versión 8),6 GB,0 B,2,2,0 segundo,,guestToolsCurrent|10305,No está en ejecución,0 Hz,0 B,0,CLIENTESRDP,,564d4584-af6d-1c5a-35e5-e5c7af8a6880,,Habilitado,N/D,No se requiere, --,No,false,
COBRA,Apagado,Normal,,192.168.100.4,,"124,19 GB",120 GB,Microsoft Windows Server 2012 (64-bit),ESXi 5.0 y posterior (máquina virtual versión 8),4 GB,0 B,2,2,0 segundo,,guestToolsSupportedOld|10304,No está en ejecución,0 Hz,0 B,0,COBRA.open.solutions,,564d23a1-642f-5cea-1c99-416965130e76,,Habilitado,N/D,No se requiere, --,No,false,
weblogic14C01,Apagado,Normal,,192.168.100.4,,"160,21 GB",136 GB,Red Hat Enterprise Linux 7 (64-bit),ESXi 6.5 y posterior (máquina virtual versión 13),24 GB,0 B,4,1,0 segundo,,guestToolsUnmanaged|11269,No está en ejecución,0 Hz,0 B,0,,,4219f264-77c8-c273-b480-b572cedc7fbf,,Habilitado,N/D,No se requiere, --,No,false,
OPENDB_31,Apagado,Normal,,192.168.100.4,,"237,22 GB",216 GB,Oracle Linux 6 (64-bit),ESXi 6.5 y posterior (máquina virtual versión 13),21 GB,0 B,8,1,0 segundo,,guestToolsUnmanaged|10277,No está en ejecución,0 Hz,0 B,0,opemdb_31,,42191329-bd6e-de52-7e46-b4de1fad7446,Last backup: [4/7/2024 1:11:53 AM]; Veeam server: [openbk]; Job: [Job_002_Backup_quincenal]; Repository: [openbk.open.solutions],Habilitado,N/D,No se requiere, --,No,false,
OEM,Apagado,Normal,,192.168.100.4,,"100,21 GB",90 GB,Oracle Linux 7 (64-bit),ESXi 6.5 y posterior (máquina virtual versión 13),10 GB,0 B,6,1,0 segundo,,guestToolsUnmanaged|11269,No está en ejecución,0 Hz,0 B,0,oem.open.com.ar,,4219fd75-3837-dcae-3ca6-2784b870a8eb,,Habilitado,N/D,No se requiere, --,No,false,
OPENDBRMAN,Apagado,Normal,,192.168.100.4,,"1,16 TB","1,16 TB",Oracle Linux 7 (64-bit),ESXi 6.5 y posterior (máquina virtual versión 13),6 GB,0 B,2,1,0 segundo,,guestToolsUnmanaged|11269,No está en ejecución,0 Hz,0 B,0,opendbrman.open.com.ar,,4219bc09-c283-30a4-77f3-4bd63f15038a,,Habilitado,N/D,No se requiere, --,No,false,
OPENAPPS,Apagado,Normal,,192.168.100.4,,"66,21 GB",60 GB,Oracle Linux 7 (64-bit),ESXi 6.5 y posterior (máquina virtual versión 13),6 GB,0 B,4,1,0 segundo,,guestToolsUnmanaged|11269,No está en ejecución,0 Hz,0 B,0,openapps.open.com.ar,,421912cb-d02c-3c8c-780c-4e0243ca7a01,,Habilitado,N/D,No se requiere, --,No,false,
PiedrasDB01,Apagado,Normal,,192.168.100.4,,"250,22 GB",226 GB,Oracle Linux 7 (64-bit),ESXi 6.5 y posterior (máquina virtual versión 13),24 GB,0 B,8,1,0 segundo,,guestToolsNotInstalled|0,No está en ejecución,0 Hz,0 B,0,,,4219b13e-d6a2-3301-2ec3-e3203252b1c5,192.1.3.121,Habilitado,N/D,No se requiere, --,No,false,
PiedrasWL01,Apagado,Normal,,192.168.100.4,,"146,21 GB",130 GB,Oracle Linux 7 (64-bit),ESXi 6.5 y posterior (máquina virtual versión 13),16 GB,0 B,4,1,0 segundo,,guestToolsNotInstalled|0,No está en ejecución,0 Hz,0 B,0,,,4219e4a2-2178-1f03-fe8c-df6c28ddb6dc,"test weblogix simple licence.
12.2.1.19  y db 23ia",Habilitado,N/D,No se requiere, --,No,false,
