Name,State,Status,Cluster,Consumed CPU %,Consumed Memory %,HA State,Uptime
192.1.1.214,Connected,Normal,,3,43,N/A,600 days
192.1.1.215,Connected,Normal,,11,47,N/A,98 days
192.1.1.216,Connected,Normal,,26,81,N/A,745 days
192.1.1.217,Connected,Normal,,8,74,N/A,1593 days
192.1.1.218,Connected,Normal,,11,84,N/A,224 days
192.1.1.219,Connected,Normal,,34,67,N/A,2004 days
192.1.1.220,Connected,Normal,,3,36,N/A,224 days
192.1.1.221,Connected,Normal,,5,86,N/A,157 days
192.1.1.222,Connected,Normal,,1,20,Uninitialization Error,224 days
192.1.1.223,Connected,Warning,,10,91,N/A,224 days
192.1.1.224,Connected,Normal,,9,94,N/A,224 days
192.1.3.252,Connected,Normal,,25,85,N/A,1043 days
