Name,State,Status,Cluster,Consumed CPU %,Consumed Memory %,HA State,Uptime,Certificate Valid To,Memory Size (MB),CPUs,NICs,Version,AutoDeploy.MachineIdentity
192.1.1.214,Connected,Normal,,2,43,N/A,600 days,"Apr 15, 2031 6:44 PM","122,867.02 MB",2,4,6.5.0,
192.1.1.215,Connected,Normal,,11,47,N/A,98 days,"Apr 15, 2031 9:56 PM","143,350.14 MB",2,4,6.5.0,
192.1.1.216,Connected,Normal,,24,84,N/A,745 days,"Apr 15, 2031 5:50 PM","65,457.04 MB",1,4,6.7.0,
192.1.1.217,Connected,Normal,,8,76,N/A,1593 days,"Jul 29, 2029 11:46 PM","98,170.85 MB",2,4,6.7.0,
192.1.1.218,Connected,Normal,,10,84,N/A,224 days,"Jun 21, 2029 7:22 PM","65,501.2 MB",2,6,6.7.0,
192.1.1.219,Connected,Normal,,36,67,N/A,2004 days,"Jan 19, 2031 12:38 PM","73,715.02 MB",1,4,6.5.0,
192.1.1.220,Connected,Normal,,2,36,N/A,224 days,"Jul 28, 2029 10:11 AM","131,063.04 MB",2,12,6.5.0,
192.1.1.221,Connected,Normal,,5,86,N/A,157 days,"Apr 7, 2031 1:14 PM","40,949.73 MB",2,4,6.7.0,
192.1.1.222,Connected,Normal,,0,20,Uninitialization Error,224 days,"Jul 31, 2029 1:22 PM","131,063.04 MB",2,12,6.5.0,
192.1.1.223,Connected,Warning,,10,92,N/A,224 days,"Dec 10, 2029 3:10 PM","262,018.07 MB",2,8,6.7.0,
192.1.1.224,Connected,Normal,,5,94,N/A,224 days,"Dec 10, 2029 3:42 PM","262,018.07 MB",2,8,6.7.0,
192.1.3.252,Connected,Normal,,24,85,N/A,1043 days,"Jun 13, 2029 4:33 PM","130,308.89 MB",1,2,6.5.0,
