Nombre,Estado,Condición,Host,Espacio aprovisionado,Espacio utilizado,Sistema operativo invitado,Tiempo de actividad,Dirección IP,CPU de host,Memoria de host,Memoria invitada - %,Notas
WL12C-PROD,Encendido,Normal,192.1.1.223,"130,15 GB","130,15 GB",Oracle Linux 7 (64-bit),198 días,192.1.1.1,83 MHz,"15,01 GB",13,"Maquina: Encendida
192.1.1.1  prod enerflex jobs, db de WL en 1.32"
WL12C-Desarrollo.2.54,Encendido,Normal,192.1.1.214,"162,13 GB","162,13 GB",Oracle Linux 7 (64-bit),432 días,192.1.2.54,277 MHz,"31,89 GB",8,2.54
WL12-Clientes,Encendido,Normal,192.1.3.252,"232,16 GB","232,16 GB",Oracle Linux 7 (64-bit),1017 días,,"3,1 GHz","11,73 GB",19,
WL-ROMAN,Encendido,Normal,192.1.3.252,"78,15 GB","73,34 GB",Red Hat Enterprise Linux 5 (64-bit),1017 días,"172.18.5.39, fe80::20c:29ff:fe47:8aa8",167 MHz,"7,97 GB",6,172.18.5.39
WL-GIAR,Encendido,Normal,192.1.3.252,"56,15 GB","55,13 GB",Red Hat Enterprise Linux 6 (64-bit),627 días,10.10.1.50,62 MHz,"6,06 GB",7,
WL-CLIENTES,Encendido,Normal,192.1.3.252,"60,15 GB","59,27 GB",Red Hat Enterprise Linux 6 (64-bit),823 días,172.18.5.40,"1,99 GHz","10,08 GB",6,"172.18.5.40 
WebLogic Argocean"
Win10-test-python,Encendido,Alerta,192.1.1.222,"64,11 GB","64,11 GB",Microsoft Windows 10 (64-bit),198 días,,111 MHz,"4,05 GB",98,
WEBSERVER,Encendido,Normal,192.1.1.216,"636,18 GB","636,18 GB",Debian GNU/Linux 10 (64-bit),719 días,"192.1.1.6, 172.23.0.1, 172.22.0.1, 192.168.176.1, 192.168.0.1, 172.18.0.1, 172.19.0.1, 172.20.0.1, 192.168.192.1, 172.25.0.1, 172.21.0.1, 172.24.0.1, fe80::250:56ff:fe99:bf0d, fe80::42:3cff:fe28:9fe, fe80::42:4aff:fef1:c02f, fe80::42:60ff:fe57:a634, fe80::42:6aff:fe34:8935, fe80::42:15ff:fe79:617b, fe80::42:d7ff:fe46:256",47 MHz,"6,09 GB",1,"Docker
Contenedores
help.open.com.ar
documize
nagios
ppc-prod"
Weblogic.21,Encendido,Normal,192.1.1.216,"276,11 GB","276,11 GB",Oracle Linux 6 (64-bit),718 días,192.1.1.21,0 Hz,"2,7 GB",1,"lo usa ariel
WL 192.1.1.21"
WebLogic.191,Encendido,Normal,192.1.1.217,"366,12 GB","362,71 GB",Red Hat Enterprise Linux 6 (64-bit),383 días,192.1.1.191,"5,6 GHz","8,52 GB",5,192.1.1.191
