Name,State,Status,Managed By,Host,Cluster,Provisioned Space,Used Space,Guest OS,Compatibility,Memory Size,Reservation,CPUs,NICs,Uptime,IP Address,VMware Tools Version Status,"VMware Tools Running 
Status",Host CPU,Host Mem,Guest Mem - %,DNS Name,EVC Mode,UUID,Notes,Alarm Actions,HA Protection,Needs Consolidation,VM Storage Policies Compliance,Encryption,TPM,VBS
CLIENTES-DB,Powered On,Normal,,192.1.1.224,,594.17 GB,594.17 GB,CentOS 7 (64-bit),ESXi 6.5 and later (VM version 13),32 GB,0 B,10,1,170 days,192.1.1.32,guestToolsSupportedOld|10304,Running,838 MHz,29.87 GB,10,clientes-db,"Intel® ""Haswell"" Generation",42193659-4a7b-b719-0bb8-cbd20bc9267d,".32

BD Boca 
BD PVINST
BD Cefas (PRO- TEST)
BD Electroban
Bd Wlogic12
Last backup: [7/8/2025 2:32:07 AM]; Veeam server: [openbk]; Job: [Job_002_Backup_quincenal]; Repository: [openbk]",Enabled,N/A,Not Required, --,No,false,false
CLIENTES-DB2,Powered On,Normal,,192.1.1.223,,524.19 GB,524.19 GB,Oracle Linux 7 (64-bit),ESXi 6.5 and later (VM version 13),24 GB,0 B,18,1,224 days,192.1.1.51,guestToolsUnmanaged|11269,Running,356 MHz,23.6 GB,6,clientes-db2,"Intel® ""Broadwell"" Generation",4219799a-5f03-7672-1888-9335803c88e5,"Maquina: Encendida
BD Pietroboni
Last backup: [6/23/2025 3:36:45 AM]; Veeam server: [openbk]; Job: [Job_002_Backup_quincenal]; Repository: [openbk]",Enabled,N/A,Not Required, --,No,false,false
CliProFw01,Powered On,Normal,,192.1.1.223,,74.1 GB,74.1 GB,FreeBSD Pre-11 versions (64-bit),ESXi 6.5 and later (VM version 13),24 GB,0 B,8,4,224 days,"192.1.3.5, 10.77.6.1, 10.77.8.1, fe80::250:56ff:fe99:cc6f, fe80::250:56ff:fe99:9c3b, fe80::250:56ff:fe99:188d, fe80::250:56ff:fe99:e0bf",guestToolsUnmanaged|2147483647,Running,41 MHz,23.34 GB,4,CliProFw01.open.local,"Intel® ""Broadwell"" Generation",4219cdbb-ac5d-97b3-a17b-eff2fec79ee1,Maquina: Apagada,Enabled,N/A,Not Required, --,No,false,false
COCO ORT,Powered Off,Normal,,192.1.1.221,,83.23 GB,80.04 GB,Microsoft Windows 7 (32-bit),ESXi 5.5 and later (VM version 10),2 GB,0 B,2,1,0 second,192.1.2.37,guestToolsSupportedOld|9409,Not running,0 Hz,0 B,0,VM-1,,42199c4b-fdde-1cd4-2b00-efaea944c349,"2.37
PRESTADA A COCO PARA CONEXIÓN A ORT",Enabled,N/A,Not Required, --,No,false,false
DASADBPROD01,Powered On,Normal,,192.1.1.223,,532.14 GB,532.14 GB,Oracle Linux 7 (64-bit),ESXi 6.7 Update 2 and later (VM version 15),32 GB,0 B,16,1,205 days,10.77.10.201,guestToolsUnmanaged|11269,Running,167 MHz,28.5 GB,5,dasadbprod01,"Intel® ""Broadwell"" Generation",4219d626-c553-38a8-4d30-7e6390ce1b1d,"DASA db PRODUCCION NUEVO
10.77.10.201
Last backup: [5/5/2026 9:00:38 PM]; Veeam server: [openbk]; Job: [2026_DiagMaipu]; Repository: [openbk]",Enabled,N/A,Not Required, --,No,false,false
Database .23,Powered On,Normal,,192.1.1.215,,474.21 GB,474.21 GB,Oracle Linux 6 (64-bit),ESXi 6.5 and later (VM version 13),24 GB,0 B,6,1,98 days,192.1.1.23,guestToolsCurrent|10357,Running,598 MHz,7.26 GB,2,database05.open.solutions,"Intel® ""Nehalem"" Generation",564db271-f294-ed76-4330-6175e8caf59e,"1.23
database05
BD: Corriendo
TESTOPEN 
ROVELLA(T2021)
ESYOPT
Apagada:( SARHA5,CITEDEF)
Last backup: [7/10/2025 1:07:35 AM]; Veeam server: [openbk]; Job: [Job_002_Backup_quincenal]; Repository: [openbk]",Enabled,N/A,Not Required, --,No,false,
Database .27,Powered On,Normal,,192.1.1.215,,424.16 GB,424.16 GB,Oracle Linux 6 (64-bit),ESXi 6.5 and later (VM version 13),24 GB,0 B,8,1,98 days,"192.168.122.1, 192.1.1.27, 10.101.2.180, fe80::250:56ff:fe99:54d9",guestToolsUnmanaged|10245,Running,99 MHz,5.04 GB,1,db27,"Intel® ""Nehalem"" Generation",564dae10-e183-6e89-b0b8-69104be722c8,"BD Corriendo: DEMOOPEN,T2015,BLOQUES,T2015ERP,SIGOTEST
Last backup: [7/10/2025 1:04:40 AM]; Veeam server: [openbk]; Job: [Job_002_Backup_quincenal]; Repository: [openbk]",Enabled,N/A,Not Required, --,No,false,
Database .44 - Clientes TEST,Powered On,Normal,,192.1.1.215,,402.2 GB,402.2 GB,Oracle Linux 7 (64-bit),ESXi 6.5 and later (VM version 13),32 GB,0 B,6,1,96 days,192.1.1.44,guestToolsUnmanaged|12389,Running,897 MHz,31.94 GB,13,database44,"Intel® ""Nehalem"" Generation",421920ff-c839-75b2-e347-fcb6cb134a07,"1.44

Last backup: [5/1/2024 1:04:57 AM]; Veeam server: [openbk]; Job: [Job_002_Backup_quincenal]; Repository: [openbk.open.solutions]",Enabled,N/A,Not Required, --,No,false,
Database .90,Powered On,Normal,,192.1.1.214,,206.14 GB,206.14 GB,Other Linux (64-bit),ESX/ESXi 4.0 and later (VM version 7),6 GB,0 B,6,1,561 days,192.1.1.90,guestToolsCurrent|10357,Running,227 MHz,6.04 GB,3,OPEN,"Intel® ""Nehalem"" Generation",564df82f-a79a-f566-ca69-206ffb643578,Last backup: [7/14/2025 1:07:44 AM]; Veeam server: [openbk]; Job: [Job_002_Backup_quincenal]; Repository: [openbk],Enabled,N/A,Not Required, --,No,false,
Database 12c .17,Powered Off,Normal,,192.1.1.216,,354.22 GB,330.01 GB,Oracle Linux 7 (64-bit),ESXi 6.5 and later (VM version 13),24 GB,0 B,4,1,0 second,,guestToolsUnmanaged|11269,Not running,0 Hz,0 B,0,,,4219f164-9dcb-eb6d-b73d-110841d5e2c6,"ERP:/u01/app/oracle/product/12.2.0/db_1:N
TABLEROERP:/u01/app/oracle/product/12.2.0/db_1:N
petro:/u01/app/oracle/product/12.2.0/db_1:N
UIA:/u01/app/oracle/product/12.2.0/db_1:Y
tuia:/u01/app/oracle/product/12.2.0/db_1:N


UIA Base Prod
Last backup: [5/1/2024 1:13:34 AM]; Veeam server: [openbk]; Job: [Job_002_Backup_quincenal]; Repository: [openbk.open.solutions]",Enabled,N/A,Not Required, --,No,false,false
