Cliente,Código,Estado / migración,Servidor WL actual,IP WL actual,SO WL,Versión WL infra,Host físico WL,Servidor DB actual,IP DB actual,SO DB,Usuario Admin
ABB S.A.,ABB,Mantenimiento solamente,WL12C-Desarrollo.2.54,192.1.2.54,Oracle Linux 7,12.2,192.1.1.214,dbclientes / dbclientes.190,192.1.1.31 / 192.1.1.190,Oracle Linux 6/7,soportesmart
Arris de Argentina S.A.,GIAR,Mantenimiento solamente,OPENWLPROD01,10.77.7.201,Oracle Linux 8,12.2,192.1.1.224,DB-GIAR,10.10.1.9,Oracle Linux 6,soportesmart
Cefas S.A.,CEFAS,Migrado / actualización pendiente,WebLogic.191,192.1.1.191,Oracle Linux 6,11,192.1.1.217,clientes-db,192.1.1.32,CentOS 7,soportesmart
Club Atlético Boca Juniors,BOCA,Destino definido / sin WL nuevo,WL12C-Desarrollo.2.54,192.1.2.54,Oracle Linux 7,12.2,192.1.1.214,clientes-db,192.1.1.32,CentOS 7,soportesmart
CSM Ciencia al Servicio del Movimiento S.A.,ROMAN,Entorno actual / posible test,WL-CLIENTES,172.18.5.40,Oracle Linux 6,10,192.1.3.252,DB-02,172.18.5.43,Oracle Linux 4/5,soportesmart
DC Viajes y Turismo S.A.,DCVIAJES,Pendiente de migración,WebLogic.191,192.1.1.191,Oracle Linux 6,11,192.1.1.217,dbclientes.190,192.1.1.190,Oracle Linux 7,soportesmart
Dominique Val S.A.,DVAL,Pendiente de migración,WebLogic.191,192.1.1.191,Oracle Linux 6,11,192.1.1.217,dbclientes238,192.1.1.238,Oracle Linux 7,soportesmart
Enerflex Solutions Argentina SRL,ENERFLEX,Actual / sin destino informado,WL12C-PROD,192.1.1.1,Oracle Linux 7,12.2,192.1.1.223,clientes-db2,192.1.1.51,Oracle Linux 7,soportesmart
Ente Servicios y Obras Públicas (ESYOP),ESYOP,Pendiente de migración,WebLogic.19,192.1.1.19,Oracle Linux 6,11,192.1.1.223,dbclientes,192.1.1.31,Oracle Linux 6,soportesmart
Entidad Binacional Yacyretá,EBY,Migrado / actualización pendiente,WL12C-Desarrollo.2.54,192.1.2.54,Oracle Linux 7,11,192.1.1.214,DB_YACY.22,192.1.1.22,Oracle Linux 4/5,soportesmart
Jobs Servicios de Recursos Humanos SRL,JOBS,Destino definido / sin WL nuevo,WL12C-PROD,192.1.1.1,Oracle Linux 7,11,192.1.1.223,clientes-db2,192.1.1.51,Oracle Linux 7,soportesmart
Heinlein,HEINLEIN,Solo infraestructura,OL8LABWL01,192.1.2.195,Oracle Linux 7,12.2,192.1.3.252,OPENDBPROD001,10.77.7.11,Oracle Linux 7,soportesmart
Maipú,MAIPU,Solo infraestructura,DMWL01,10.77.10.101,Oracle Linux 8,12.2,192.1.1.223,DASADBPROD01,10.77.10.201,Oracle Linux 7,soportesmart
opendocker03,,Docker,192.1.1.113,192.1.1.113,,,,,,,soportesmart
opendocker02,,Docker,192.1.1.112,192.1.1.112,,,,,,,soportesmart
opendocker01,,Docker,192.1.1.110,192.1.1.110,,,,,,,soportesmart
opendocker04,,Docker,10.77.7.5,10.77.7.5,,,,,,,soportesmart
portalDM,,,10.77.10.5,,,,,,,,soportesmart
